ID,,Organisation,User type,Data supplier,Data,Regio,website,Description,geregistreerd,DA-stakeholder,,,,,
69,,Felyx,Data supplier,Demand responsive transport - private,Bike/Step/Scooter sharing,Belgium - International,https://felyx.com/,"Deel e-scooter (Brussel, Antwerpen)",No,Yes,,,,,
70,77a504ed-26b7-4344-a08f-82cf1a34e05b ,Fietsberaad Vlaanderen,Federation/network,Infrastructure manager - public,Bike/Step/Scooter,Flanders TEN-T,https://fietsberaad.be,Kenniscentrum ter ondersteuning van de overheid omtrent fietsen in Vlaanderen -> fietsparkings,Yes,No,,,,,
71,,Fietsersbond,Federation/network,/,/,/,https://www.fietsersbond.be/,Bond gericht op promotie fiets,No (not neccesary),No,,,,,
72,,FlatTurtle,Other…,/,/,/,https://flatturtle.com/,"Software voor tracking en mobiliteitsalyses, real time traffic information",No (not neccesary),No,,,,,
73,,Flibco,Data supplier,Demand responsive transport - private,Bus - shuttle (Demand responsive),Belgium - International,www.flibco.com,airport shuttle connections (brussels - charleroi),No,Yes,,,,,
74,,FLIR,Other…,/,/,/,https://www.flir.eu/,Camerasystemen voor traffic management,No (not neccesary),No,,,,,
75,,Flying Service,Data supplier,Demand responsive transport - private,Air,Belgium - International,https://www.flyinggroup.aero/about/,Business aviation & onderdeel voor particulieren (empty legs),No (not neccesary),Yes,,,,,
76,,FOD Economie,Other…,Infrastructure manager - public,Refuelling points,Belgium - International,,beschikken over de locatiegegevens tankstations,No (not necessary),No,,,,,
77,22c83c6b-6f0c-4c99-9102-046a7812cbe1 ,FOD Mobiliteit,Data supplier,Transport authority,/,Belgium - International,https://mobilit.belgium.be/nl,Transport authority,Yes,Yes,,,,,
78,b471fcd9-0fc1-4652-9f1e-7b31642ef25e ,FOX Share,Data supplier,/,/,,http://www.devos-capoen.be,carsharing,Yes,Yes,,,,,
79,,Gartner,Consultancy,/,,/,www.gartner.com,Consultancy office,No (not neccesary),No,,,,,
80,a0b6cba2-3d9f-4813-864f-6ba45c7e0690 ,Gas.be,Data supplier,Infrastructure manager - private,Refuelling points,Belgium - International,www.gas.be,Federation of Belgian gas networks operators,Yes,Yes,,,,,
81,,Gemeente Brugge,Data supplier,Infrastructure manager - public,/,Flanders Local,www.brugge.be,,No (not neccesary),Yes,,,,,
82,,Gemeente Geraardsbergen,Data supplier,Infrastructure manager - public,/,Flanders Local,https://www.geraardsbergen.be/,,No (not neccesary),Yes,,,,,
83,,Gemeente IDEA ,Data supplier,Infrastructure manager - public,"Location (streets, adresses, etc)",Wallonia Local,https://www.idea.be/fr/accueil.html,Intercommunale de 27 communes du coeur du Hainaut,No (not neccesary),Yes,,,,,
84,,Gemeente Oostende,Data supplier,Infrastructure manager - public,/,Flanders Local,www.oostende.be,,No (not neccesary),Yes,,,,,
85,,Gemeente Turnhout,Data supplier,Infrastructure manager - public,/,Flanders Local,,,No (not neccesary),Yes,,,,,
86,5bcc0eee-486a-4d1c-af0f-767ba8615d8e ,Geosolutions,Other…,/,/,/,www.geosolutions.be,Ontwikkelde de website transportdata.be ,Yes,No,,,,,
87,,Geosparc,Consultancy,/,/,/,https://www.geosparc.com/,Consultant voor slimme mobiliteitsoplossingen ,No (not neccesary),No,,,,,
